Checking and applying pending database migrations...

[4mSequelize CLI [Node: 22.18.0, CLI: 6.6.2, ORM: 6.37.8][24m

Loaded configuration file "src\config\sequelize-cli.js".
Using environment "development".
No migrations were executed, database schema was already up to date.
Database migrations are up to date
Database connection established
Toilet QR bootstrap completed: total=10 generated=0 skipped=10 failed=0
Server is running on port 5000
[6d863006-5221-43c8-8cb4-a3d68f726354] GET /api/v1/inspections?page=1&limit=8 -> 200 1043ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[34e0bc9e-4383-4a62-bffc-c84c3dfa8d24] GET /api/v1/dashboard/overview -> 200 1198ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[5a1a6c80-617e-4b4a-9c1d-b81f5507a819] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1278ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[91b74a6c-ac3e-4cc9-9479-bed7a7762a7b] GET /api/v1/dashboard/trends -> 200 1559ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[97655bb4-a7d4-4a2b-ae27-5457cca88403] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[1dd8c03f-c797-43e6-a8b8-8c5fbb374303] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[b19fd0bb-0d83-4296-a8f8-399e42bbe306] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[3acb99a6-1d66-4e23-9c08-a733e62146dc] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[b996d7b0-540a-420f-b020-740a924c6c56] GET /api/v1/inspections?page=1&limit=8 -> 200 3541ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[140b8cc7-76ae-4160-92c5-c66bc9543967] GET /api/v1/dashboard/trends -> 200 4153ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[770a691c-d2fb-4419-8407-730c4fd96def] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 4183ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[04ec0ed5-71b3-415c-ab4d-313deb6776b9] GET /api/v1/dashboard/overview -> 200 5739ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[5d6f7f7b-506b-45c4-bbf7-aa6c413b74f7] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[e1b3bca8-6c8f-41d2-832b-fb129475709f] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[d320bca2-ff9d-4d0f-b7f5-0729b37d483e] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[3fe37f56-6374-4c1c-9ea6-52a5996812ab] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[910b9b43-732a-4de8-ab04-7c314fb30337] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1341ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[d9f6409f-0fc0-4a0f-b08f-18b002ae2bcc] GET /api/v1/inspections?page=1&limit=8 -> 200 1616ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[9490f9a7-91c8-43d3-b418-bd7db60ba859] GET /api/v1/dashboard/overview -> 200 1749ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[c36425af-775a-43d0-9f86-c7f7939e5b34] GET /api/v1/dashboard/trends -> 200 2139ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[3878621d-5a63-44e3-9b2d-6e20bfdccacf] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[4d2d1758-91bb-4827-bf56-a5c73d468dca] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[d1a3d65f-13a9-4158-9357-dd455180d5b4] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[29434fd8-0e81-4b13-9758-685968c9942a] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[2f822023-5f93-4ea1-af31-1588f4b5c090] GET /api/v1/dashboard/overview -> 200 1227ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[89a1b732-7808-4120-bebc-7bd75564dd5b] GET /api/v1/inspections?page=1&limit=8 -> 200 1222ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[8dc00648-ccf6-4bb9-aaba-bfa973814497] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1490ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[d8174a14-6777-41da-b437-1e331108c86d] GET /api/v1/dashboard/trends -> 200 1493ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[8b1bed49-bcd9-45ec-97a1-6d95659db13b] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[9ea8891c-bba1-4c44-a76d-5a15c689e6f9] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[b83267a9-d6f5-4a4c-90fc-6c29a15eb73c] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[1ecf9b35-fbcd-4da3-b7a7-066fd562130a] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[878bf26d-823e-402d-b7df-f10a28b192fa] GET /api/v1/dashboard/overview -> 200 1397ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[9907a3d2-154c-4ba5-89eb-f9de80b3ff2a] GET /api/v1/dashboard/trends -> 200 1483ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[ec4389d6-ab19-4b2b-803d-6fedbde3519b] GET /api/v1/inspections?page=1&limit=8 -> 200 1499ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[3b26d5eb-d305-4676-8df2-2253c5ad30ea] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 2068ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[f456c8c1-ff3e-4d0e-aade-8659a0c48c9c] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[3e37b0c6-68ad-493d-8981-04482ee98117] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[b363ef57-fd34-44af-9e4a-0a401bb9a655] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[016d5b2a-afce-4a8e-942c-8ebe5e494d96] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[849dd80e-8158-47ae-a479-681a330451f3] OPTIONS /api/v1/auth/refresh -> 204 1ms tenant=platform user=anonymous
[73fd97f3-4060-43fd-94f9-8dc49b25f88b] POST /api/v1/auth/refresh -> 200 1149ms tenant=platform user=anonymous
[7c8d2ead-87e6-44d9-b46a-90953f08d8a3] GET /api/v1/inspections?page=1&limit=8 -> 200 1202ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[fc3f8b10-4c5d-4566-bad8-dfabb7f1557f] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1375ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[41c395de-35cd-4d69-810e-d4dd0e4c208d] GET /api/v1/inspections?page=1&limit=8 -> 200 689ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[88c9a990-0378-40b5-808f-fa88be896d8b] GET /api/v1/dashboard/trends -> 200 1969ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[47782d05-1839-4004-83e1-a5b6b1f2a6d8] GET /api/v1/dashboard/overview -> 200 2238ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[3193e19d-283b-4979-8ec0-5b5479a943d2] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1242ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
